objectid,filename,title,format,latitude,longitude,date,subject,location,description,language
023,C2-G2-023.pdf,Pinacoteca de Brera,application/pdf,45.471955,9.187522,1912,Persona frente a un cuerpo,"Milán, Italia",Ilustración a color de una doncella en el pie de una iglesia,It
024,C2-G2-024.pdf,Oficial Pictórico,application/pdf,41.902222,12.453333,1912,Persona,Ciudad del Vaticano,Ilustración a color de un oficial de uniformado,It
025,C2-G2-025.pdf,White Star Line,application/pdf,53.405471,-2.991572,1912,Personas,"Liverpool, Inglaterra",Fotografía sepia de una comida abordo del barco,En
026,C2-G2-026.pdf,,application/pdf,53.405472,-2.991573,1912,,,,En
027,C2-G2-027.pdf,,application/pdf,51.0504,13.7373,1912,,,,En
028,C2-G2-028.pdf,,application/pdf,,,1912,,,,En
029,C2-G2-029.pdf,,application/pdf,,,1912,,,,En
030,C2-G2-030.pdf,,application/pdf,,,1912,,,,En
031,C2-G2-031.pdf,,application/pdf,,,1912,,,,De
032,C2-G2-032.pdf,,application/pdf,,,1912,,,,It
033,C2-G2-033.pdf,,application/pdf,,,1912,,,,It
034,C2-G2-034.pdf,,application/pdf,,,1912,,,,It
035,C2-G2-035.pdf,,application/pdf,,,1912,,,,It
036,C2-G2-036.pdf,,application/pdf,,,1912,,,,It
037,C2-G2-037.pdf,,application/pdf,,,1912,,,,It
038,C2-G2-038.pdf,,application/pdf,,,1912,,,,It
039,C2-G2-039.pdf,,application/pdf,,,1912,,,,It
040,C2-G2-040.pdf,,application/pdf,,,1912,,,,It
041,C2-G2-041.pdf,,application/pdf,,,1912,,,,It
042,C2-G2-042.pdf,,application/pdf,,,1912,,,,It
043,C2-G2-043.pdf,,application/pdf,,,1912,,,,It
044,C2-G2-044.pdf,,application/pdf,,,1912,,,,It
045,C2-G2-045.pdf,,application/pdf,,,1912,,,,It
046,C2-G2-046.pdf,,application/pdf,,,1912,,,,It
047,C2-G2-047.pdf,,application/pdf,,,1912,,,,It
048,C2-G2-048.pdf,,application/pdf,,,1912,,,,It
049,C2-G2-049.pdf,,application/pdf,,,1912,,,,It
050,C2-G2-050.pdf,,application/pdf,,,1912,,,,It
051,C2-G2-051.pdf,,application/pdf,,,1912,,,,It
052,C2-G2-052.pdf,,application/pdf,,,1912,,,,It
053,C2-G2-053.pdf,,application/pdf,,,1912,,,,It
054,C2-G2-054.pdf,,application/pdf,,,1912,,,,Es
055,C2-G2-055.pdf,,application/pdf,,,1912,,,,Es
056,C2-G2-056.pdf,,application/pdf,,,1912,,,,Es
057,C2-G2-057.pdf,,application/pdf,,,1912,,,,It
058,C2-G2-058.pdf,,application/pdf,,,1912,,,,Es
059,C2-G2-059.pdf,,application/pdf,,,1912,,,,It
060,C2-G2-060.pdf,,application/pdf,,,1912,,,,It
061,C2-G2-061.pdf,,application/pdf,,,1912,,,,It
062,C2-G2-062.pdf,,application/pdf,,,1912,,,,It
063,C2-G2-063.pdf,,application/pdf,,,1912,,,,It
064,C2-G2-064.pdf,,application/pdf,,,1912,,,,It
065,C2-G2-065.pdf,,application/pdf,,,1912,,,,It
066,C2-G2-066.pdf,,application/pdf,,,1912,,,,It
067,C2-G2-067.pdf,,application/pdf,,,1912,,,,It
068,C2-G2-068.pdf,,application/pdf,,,1912,,,,It
069,C2-G2-069.pdf,,application/pdf,,,1912,,,,It
070,C2-G2-070.pdf,,application/pdf,,,1912,,,,It
071,C2-G2-071.pdf,,application/pdf,,,1912,,,,It
072,C2-G2-072.pdf,,application/pdf,,,1912,,,,It
073,C2-G2-073.pdf,,application/pdf,,,1912,,,,It
074,C2-G2-074.pdf,,application/pdf,,,1912,,,,It
075,C2-G2-075.pdf,,application/pdf,,,1912,,,,It
076,C2-G2-076.pdf,,application/pdf,,,1912,,,,It
077,C2-G2-077.pdf,,application/pdf,,,1912,,,,It
078,C2-G2-078.pdf,,application/pdf,,,1912,,,,It
079,C2-G2-079.pdf,,application/pdf,,,1912,,,,It
080,C2-G2-080.pdf,,application/pdf,,,1912,,,,It
081,C2-G2-081.pdf,,application/pdf,,,1912,,,,It
082,C2-G2-082.pdf,,application/pdf,,,1912,,,,It
083,C2-G2-083.pdf,,application/pdf,,,1912,,,,It
084,C2-G2-084.pdf,,application/pdf,,,1912,,,,It
085,C2-G2-085.pdf,,application/pdf,,,1912,,,,It
086,C2-G2-086.pdf,,application/pdf,,,1912,,,,It
087,C2-G2-087.pdf,,application/pdf,,,1912,,,,It
088,C2-G2-088.pdf,,application/pdf,,,1912,,,,It
089,C2-G2-089.pdf,,application/pdf,,,1912,,,,It
090,C2-G2-090.pdf,,application/pdf,,,1912,,,,It
091,C2-G2-091.pdf,,application/pdf,,,1912,,,,It
092,C2-G2-092.pdf,,application/pdf,,,1912,,,,It
093,C2-G2-093.pdf,,application/pdf,,,1912,,,,It
094,C2-G2-094.pdf,,application/pdf,,,1912,,,,It
095,C2-G2-095.pdf,,application/pdf,,,1912,,,,It
096,C2-G2-096.pdf,,application/pdf,,,1912,,,,It
097,C2-G2-097.pdf,,application/pdf,,,1912,,,,It
098,C2-G2-098.pdf,,application/pdf,,,1912,,,,It
099,C2-G2-099.pdf,,application/pdf,,,1912,,,,It
100,C2-G2-100.pdf,,application/pdf,,,1912,,,,It
